Надотряд: Динозавры
Отряд: Птицетазовые
Отряд: Ящеротазовые
Семейство: Гетеродонтозавриды
Род: Фруйтаденс
Род: Гетеородонтозавр
Группа: Геназаврия
Род: Лесотозавр
Подотряд: Тиреофоры
Род: Скуталозавр
Род: Эмаузавр
Инфраотряд: Стегозаврии
Род: Гигантспинозавр
Род: Хуаянгозавр
Семейство: Стегозавриды
Род: Кентрозавр
Род: Дацентрур
Подсемейство: Стегозаврины
Род: Стегозавр
Род: Гесперозавр
Инфраотряд: Анкилозаврии
Семейство: Нодозавридц
Подсемейство: Полакантины
Род: Гастония
Род: Полакант
Род: Завропельта
Род: Эдмонтония
Семейство: Анкилозавриды
Род: Минми
Род: Лиаонингозавр
Подсемейство: Анкилозавринии
Род: Эоплоцефал
Род: Анкилозавр
Подотряд: Неоорнитискии
Род: Агилизавр
Род: Нанозавр
Подотряд: Цераподы
Инфраотряд: Орнитоподы
Род: Муттабурразавр
Семейство: Игуанодонтии
Род: Дриозавр
Подсемейство: Анкилополлексии
Род: Оуранозавр
Род: Паразауролоф
Род: Игуанодон
Инфраотряд: Маргиноцефалии
Семейство: Пахицефалозаврии
Род: Стигимолох
Род: Пахицефалозавр
Семейство: Цератопсы
Род: Пситтакозавр
Подсемейство: Неоцератопсы
Род: Лептоцератопс
Клада: Коронозаврии
Род: Протоцератопс
Семейство: Цератопсиды
Род: Пентацератопс
Род: Торозавр
Семейство: Геррерозавриды
Род: Ставрикозавр
Род: Геррерозавр
Клада: Завроподоморфы
Род: Платеозавр
Род: Панфагия
Клада: Завроподы
Род: Спинофорозавр
Клада: Эузавроподы
Надсемейство: Диплодокии
Род: Брахитрахелопан
Семейство: Диплодокиды
Род: Бронтозавр
Род: Амаргазавр
Род: Диплодок
Клада: Макронария
Род: Камарозавр
Клада: Титанозавроформы
Род: Брахиозавр
Род: Титанозавр
Клада: Тероподы
Надсемейство: Целофизиды
Род: Прокомпсогнат
Род: Целофизис
Род: Дилофозавр
Клада: Аверостры
Клада: Цератозавры
Род: Карнотавр
Род: Цератозавр
Клада: Тетануры
Группа: Карнозавры
Род: Монолофозавр
Надсемейство: Аллозавриды
Семейство: Акрокантозавриды
Род: Акрокантозавр
Род: Кархародонтозавр
Род: Аллозавр
Надсемейство: Мегалозавриды
Семейство: Спинозавриды
Подсемейство: Спинозаврины
Род: Ихтиовенатор
Род: Спинозавр
Подсемейство: Бариониксины
Род: Зухомим
Род: Барионикс
Семейство: Мегалозаврины
Род: Мегалозавр
Род: Афровенатор
Клада: Целурозавры
Надсемейство: Тираннозавроиды
Род: Гуаньлунь
Семейство: Тираннозавриды
Род: Горгозавр
Подсемейство: Тираннозаврины
Род: Тарбозавр
Род: Тираннозавр рекс
Род: Компсогнат
Клада: Манираптороформы
Клада: Орнитомимозавры
Род: Дейнохейрус
Род: Галлимим
Клада: Манирапторы
Род: Теризинозавр
Клада: Пеннарапторы
Род: Овираптор
Клада: Паравесы
Род: Йи Ки
Клада: Эоманирапторы
Клада: Дейнонихозаврии
Род: Дейноних
Род: Троодон
Клада: Авиалы
Род: Конфуциорнис
Клада: Птицехвостые
Род: Гесперонис
Род: Ихтиорнис
Класс: Птицы
